#Distance(A)   Potential(eV)
  0.0000       0.000000000
  0.0401       0.000000000
  0.0802       0.000000000
  0.1203       0.000000000
  0.1605       0.000000000
  0.2006       0.000000000
  0.2407       0.000000000
  0.2808       0.000000000
  0.3209       0.000000000
  0.3610       0.000000000
  0.4012       0.000000000
  0.4413       0.000000000
  0.4814       0.000000000
  0.5215       0.000000000
  0.5616       0.000000000
  0.6017       0.000000000
  0.6419       0.000000000
  0.6820       0.000000000
  0.7221       0.000000000
  0.7622       0.000000000
  0.8023       0.000000000
  0.8424       0.000000000
  0.8825       0.000000000
  0.9227       0.000000000
  0.9628       0.000000000
  1.0029       0.000000000
  1.0430       0.000000000
  1.0831       0.000000000
  1.1232       0.000000000
  1.1634       0.000000000
  1.2035       0.000000000
  1.2436       0.000000000
  1.2837       0.000000000
  1.3238       0.000000000
  1.3639       0.000000000
  1.4040       0.000000000
  1.4442       0.000000000
  1.4843       0.000000000
  1.5244       0.000000000
  1.5645       0.000000000
  1.6046       0.000000000
  1.6447       0.000000000
  1.6849       0.000000000
  1.7250       0.000000000
  1.7651       0.000000000
  1.8052       0.000000000
  1.8453       0.000000000
  1.8854       0.000000000
  1.9256       0.000000000
  1.9657       0.000000000
  2.0058       0.000000000
  2.0459       0.000000000
  2.0860       0.000000000
  2.1261       0.000000000
  2.1662       0.000000000
  2.2064       0.000000000
  2.2465       0.000000000
  2.2866       0.000000000
  2.3267       0.000000000
  2.3668       0.000000000
  2.4069       0.000000000
  2.4471       0.000000000
  2.4872       0.000000000
  2.5273       0.000000000
  2.5674       0.000000000
  2.6075       0.000000000
  2.6476       0.000000000
  2.6878       0.000000000
  2.7279       0.000000000
  2.7680       0.000000000
  2.8081       0.000000000
  2.8482       0.000000000
  2.8883       0.000000000
  2.9284       0.000000000
  2.9686       0.000000000
  3.0087       0.000000000
  3.0488       0.000000000
  3.0889       0.000000000
  3.1290       0.000000000
  3.1691       0.000000000
  3.2093       0.000000000
  3.2494       0.000000000
  3.2895       0.000000000
  3.3296       0.000000000
  3.3697       0.000000000
  3.4098       0.000000000
  3.4500       0.000000000
  3.4901       0.000000000
  3.5302       0.000000000
  3.5703       0.000000000
  3.6104       0.000000000
  3.6505       0.000000000
  3.6906       0.000000000
  3.7308       0.000000000
  3.7709       0.000000000
  3.8110       0.000000000
  3.8511       0.000000000
  3.8912       0.000000000
  3.9313       0.000000000
  3.9715       0.000000000
  4.0116       0.000000000
  4.0517       0.000000000
  4.0918       0.000000000
  4.1319       0.000000000
  4.1720       0.000000000
  4.2121       0.000000000
  4.2523       0.000000000
  4.2924       0.000000000
  4.3325       0.000000000
  4.3726       0.000000000
  4.4127       0.000000000
  4.4528       0.000000000
  4.4930       0.000000000
  4.5331       0.000000000
  4.5732       0.000000000
  4.6133       0.000000000
  4.6534       0.000000000
  4.6935       0.000000000
  4.7337       0.000000000
  4.7738       0.000000000
  4.8139       0.000000000
  4.8540       0.000000000
  4.8941       0.000000000
  4.9342       0.000000000
  4.9743       0.000000000
  5.0145       0.000000000
  5.0546       0.000000000
  5.0947       0.000000000
  5.1348       0.000000000
  5.1749       0.000000000
  5.2150       0.000000000
  5.2552       0.000000000
  5.2953       0.000000000
  5.3354       0.000000000
  5.3755       0.000000000
  5.4156       0.000000000
  5.4557       0.000000000
  5.4959       0.000000000
  5.5360       0.000000000
  5.5761       0.000000000
  5.6162       0.000000000
  5.6563       0.000000000
  5.6964       0.000000000
  5.7365       0.000000000
  5.7767       0.000000000
  5.8168       0.000000000
  5.8569       0.000000000
  5.8970       0.000000000
  5.9371       0.000000000
  5.9772       0.000000000
  6.0174       0.000000000
  6.0575       0.000000000
  6.0976       0.000000000
  6.1377       0.000000000
  6.1778       0.000000000
  6.2179       0.000000000
  6.2580       0.000000000
  6.2982       0.000000000
  6.3383       0.000000000
  6.3784       0.000000000
  6.4185       0.000000000
  6.4586       0.000000000
  6.4987       0.000000000
  6.5389       0.000000000
  6.5790       0.000000000
  6.6191       0.000000000
  6.6592       0.000000000
  6.6993       0.000000000
  6.7394       0.000000000
  6.7796       0.000000000
  6.8197       0.000000000
  6.8598       0.000000000
  6.8999       0.000000000
  6.9400       0.000000000
  6.9801       0.000000000
  7.0202       0.000000000
  7.0604       0.000000000
  7.1005       0.000000000
  7.1406       0.000000000
  7.1807       0.000000000
  7.2208       0.000000000
  7.2609       0.000000000
  7.3011       0.000000000
  7.3412       0.000000000
  7.3813       0.000000000
  7.4214       0.000000000
  7.4615       0.000000000
  7.5016       0.000000000
  7.5418       0.000000000
  7.5819       0.000000000
  7.6220       0.000000000
  7.6621       0.000000000
  7.7022       0.000000000
  7.7423       0.000000000
  7.7824       0.000000000
  7.8226       0.000000000
  7.8627       0.000000000
  7.9028       0.000000000
  7.9429       0.000000000
  7.9830       0.000000000
  8.0231       0.000000000
  8.0633       0.000000000
  8.1034       0.000000000
  8.1435       0.000000000
  8.1836       0.000000000
  8.2237       0.000000000
  8.2638       0.000000000
  8.3040       0.000000000
  8.3441       0.000000000
  8.3842       0.000000000
  8.4243       0.000000000
  8.4644       0.000000000
  8.5045       0.000000000
  8.5446       0.000000000
  8.5848       0.000000000
  8.6249       0.000000000
  8.6650       0.000000000
  8.7051       0.000000000
  8.7452       0.000000000
  8.7853       0.000000000
  8.8255       0.000000000
  8.8656       0.000000000
  8.9057       0.000000000
  8.9458       0.000000000
  8.9859       0.000000000
  9.0260       0.000000000
  9.0661       0.000000000
  9.1063       0.000000000
  9.1464       0.000000000
  9.1865       0.000000000
  9.2266       0.000000000
  9.2667       0.000000000
  9.3068       0.000000000
  9.3470       0.000000000
  9.3871       0.000000000
  9.4272       0.000000000
  9.4673       0.000000000
  9.5074       0.000000000
  9.5475       0.000000000
  9.5877       0.000000000
  9.6278       0.000000000
  9.6679       0.000000000
  9.7080       0.000000000
  9.7481       0.000000000
  9.7882       0.000000000
  9.8283       0.000000000
  9.8685       0.000000000
  9.9086       0.000000000
  9.9487       0.000000000
  9.9888       0.000000000
 10.0289       0.000000000
 10.0690       0.000000000
 10.1092       0.000000000
 10.1493       0.000000000
 10.1894       0.000000000
 10.2295       0.000000000
 10.2696       0.000000000
 10.3097       0.000000000
 10.3499       0.000000000
 10.3900       0.000000000
 10.4301       0.000000000
 10.4702       0.000000000
 10.5103       0.000000000
 10.5504       0.000000000
 10.5905       0.000000000
 10.6307       0.000000000
 10.6708       0.000000000
 10.7109       0.000000000
 10.7510       0.000000000
 10.7911       0.000000000
 10.8312       0.000000000
 10.8714       0.000000000
 10.9115       0.000000000
 10.9516       0.000000000
 10.9917       0.000000000
 11.0318       0.000000000
 11.0719       0.000000000
 11.1121       0.000000000
 11.1522       0.000000000
 11.1923       0.000000000
 11.2324       0.000000000
 11.2725       0.000000000
 11.3126       0.000000000
 11.3527       0.000000000
 11.3929       0.000000000
 11.4330       0.000000000
 11.4731       0.000000000
 11.5132       0.000000000
 11.5533       0.000000000
 11.5934       0.000000000
 11.6336       0.000000000
 11.6737       0.000000000
 11.7138       0.000000000
 11.7539       0.000000000
 11.7940       0.000000000
 11.8341       0.000000000
 11.8742       0.000000000
 11.9144       0.000000000
 11.9545       0.000000000
 11.9946       0.000000000
 12.0347       0.000000000
 12.0748       0.000000000
 12.1149       0.000000000
 12.1551       0.000000000
 12.1952       0.000000000
 12.2353       0.000000000
 12.2754       0.000000000
 12.3155       0.000000000
 12.3556       0.000000000
 12.3958       0.000000000
 12.4359       0.000000000
 12.4760       0.000000000
 12.5161       0.000000000
 12.5562       0.000000000
 12.5963       0.000000000
 12.6364       0.000000000
 12.6766       0.000000000
 12.7167       0.000000000
 12.7568       0.000000000
 12.7969       0.000000000
 12.8370       0.000000000
 12.8771       0.000000000
 12.9173       0.000000000
 12.9574       0.000000000
 12.9975       0.000000000
 13.0376       0.000000000
 13.0777       0.000000000
 13.1178       0.000000000
 13.1580       0.000000000
 13.1981       0.000000000
 13.2382       0.000000000
 13.2783       0.000000000
 13.3184       0.000000000
 13.3585       0.000000000
 13.3986       0.000000000
 13.4388       0.000000000
 13.4789       0.000000000
 13.5190       0.000000000
 13.5591       0.000000000
 13.5992       0.000000000
 13.6393       0.000000000
 13.6795       0.000000000
 13.7196       0.000000000
 13.7597       0.000000000
 13.7998       0.000000000
 13.8399       0.000000000
 13.8800       0.000000000
 13.9201       0.000000000
 13.9603       0.000000000
 14.0004       0.000000000
 14.0405       0.000000000
 14.0806       0.000000000
 14.1207       0.000000000
 14.1608       0.000000000
 14.2010       0.000000000
 14.2411       0.000000000
 14.2812       0.000000000
 14.3213       0.000000000
 14.3614       0.000000000
 14.4015       0.000000000
 14.4417       0.000000000
 14.4818       0.000000000
 14.5219       0.000000000
 14.5620       0.000000000
 14.6021       0.000000000
 14.6422       0.000000000
 14.6823       0.000000000
 14.7225       0.000000000
 14.7626       0.000000000
 14.8027       0.000000000
 14.8428       0.000000000
 14.8829       0.000000000
 14.9230       0.000000000
 14.9632       0.000000000
 15.0033       0.000000000
 15.0434       0.000000000
 15.0835       0.000000000
 15.1236       0.000000000
 15.1637       0.000000000
 15.2039       0.000000000
 15.2440       0.000000000
 15.2841       0.000000000
 15.3242       0.000000000
 15.3643       0.000000000
 15.4044       0.000000000
 15.4445       0.000000000
 15.4847       0.000000000
 15.5248       0.000000000
 15.5649       0.000000000
 15.6050       0.000000000
 15.6451       0.000000000
 15.6852       0.000000000
 15.7254       0.000000000
 15.7655       0.000000000
 15.8056       0.000000000
 15.8457       0.000000000
 15.8858       0.000000000
 15.9259       0.000000000
 15.9661       0.000000000
 16.0062       0.000000000
 16.0463       0.000000000
 16.0864       0.000000000
 16.1265       0.000000000
 16.1666       0.000000000
 16.2067       0.000000000
 16.2469       0.000000000
 16.2870       0.000000000
 16.3271       0.000000000
 16.3672       0.000000000
 16.4073       0.000000000
 16.4474       0.000000000
 16.4876       0.000000000
 16.5277       0.000000000
 16.5678       0.000000000
 16.6079       0.000000000
 16.6480       0.000000000
 16.6881       0.000000000
 16.7282       0.000000000
 16.7684       0.000000000
 16.8085       0.000000000
 16.8486       0.000000000
 16.8887       0.000000000
 16.9288       0.000000000
 16.9689       0.000000000
 17.0091       0.000000000
 17.0492       0.000000000
 17.0893       0.000000000
 17.1294       0.000000000
 17.1695       0.000000000
 17.2096       0.000000000
 17.2498       0.000000000
 17.2899       0.000000000
 17.3300       0.000000000
 17.3701       0.000000000
 17.4102       0.000000000
 17.4503       0.000000000
 17.4904       0.000000000
 17.5306       0.000000000
 17.5707       0.000000000
 17.6108       0.000000000
 17.6509       0.000000000
 17.6910       0.000000000
 17.7311       0.000000000
 17.7713       0.000000000
 17.8114       0.000000000
 17.8515       0.000000000
 17.8916       0.000000000
 17.9317       0.000000000
 17.9718       0.000000000
 18.0120       0.000000000
 18.0521       0.000000000
 18.0922       0.000000000
 18.1323       0.000000000
 18.1724       0.000000000
 18.2125       0.000000000
 18.2526       0.000000000
 18.2928       0.000000000
 18.3329       0.000000000
 18.3730       0.000000000
 18.4131       0.000000000
 18.4532       0.000000000
 18.4933       0.000000000
 18.5335       0.000000000
 18.5736       0.000000000
 18.6137       0.000000000
 18.6538       0.000000000
 18.6939       0.000000000
 18.7340       0.000000000
 18.7741       0.000000000
 18.8143       0.000000000
 18.8544       0.000000000
 18.8945       0.000000000
 18.9346       0.000000000
 18.9747       0.000000000
 19.0148       0.000000000
 19.0550       0.000000000
 19.0951       0.000000000
 19.1352       0.000000000
 19.1753       0.000000000
 19.2154       0.000000000
 19.2555       0.000000000
 19.2957       0.000000000
 19.3358       0.000000000
 19.3759       0.000000000
 19.4160       0.000000000
 19.4561       0.000000000
 19.4962       0.000000000
 19.5363       0.000000000
 19.5765       0.000000000
 19.6166       0.000000000
 19.6567       0.000000000
 19.6968       0.000000000
 19.7369       0.000000000
 19.7770       0.000000000
 19.8172       0.000000000
 19.8573       0.000000000
 19.8974       0.000000000
 19.9375       0.000000000
 19.9776       0.000000000
 20.0177       0.000000000
 20.0579       0.000000000
 20.0980       0.000000000
 20.1381       0.000000000
 20.1782       0.000000000
 20.2183       0.000000000
 20.2584       0.000000000
 20.2985       0.000000000
 20.3387       0.000000000
 20.3788       0.000000000
 20.4189       0.000000000
 20.4590       0.000000000
 20.4991       0.000000000
 20.5392       0.000000000
 20.5794       0.000000000
 20.6195       0.000000000
 20.6596       0.000000000
 20.6997       0.000000000
 20.7398       0.000000000
 20.7799       0.000000000
 20.8201       0.000000000
 20.8602       0.000000000
 20.9003       0.000000000
 20.9404       0.000000000
 20.9805       0.000000000
 21.0206       0.000000000
 21.0607       0.000000000
 21.1009       0.000000000
 21.1410       0.000000000
 21.1811       0.000000000
 21.2212       0.000000000
 21.2613       0.000000000
 21.3014       0.000000000
 21.3416       0.000000000
 21.3817       0.000000000
 21.4218       0.000000000
 21.4619       0.000000000
 21.5020       0.000000000
 21.5421       0.000000000
 21.5822       0.000000000
 21.6224       0.000000000
 21.6625       0.000000000
 21.7026       0.000000000
 21.7427       0.000000000
 21.7828       0.000000000
 21.8229       0.000000000
 21.8631       0.000000000
 21.9032       0.000000000
 21.9433       0.000000000
 21.9834       0.000000000
 22.0235       0.000000000
 22.0636       0.000000000
 22.1038       0.000000000
 22.1439       0.000000000
 22.1840       0.000000000
 22.2241       0.000000000
 22.2642       0.000000000
 22.3043       0.000000000
 22.3444       0.000000000
 22.3846       0.000000000
 22.4247       0.000000000
 22.4648       0.000000000
